french,german
Localite,Ort
IndiceUtilisationType,Nutzungsziffer_Art
Etat_de_l_equipement_MN95_V1.MultiLingualUri,Stand_der_Erschliessung_LV95_V1.MultilingualUri
PlansDAffectation_V1_2.LocalisedBlob,Nutzungsplanung_V1_2.LocalisedBlob
GeodonneesDeBase,Geobasisdaten
DegreDeSensibiliteAuBruit_V1_2.MultilingualUri,Laermempfindlichkeitsstufen_V1_2.MultilingualUri
Donnees_orgResp,zustStelle_Daten
TypeCt_CatalogueCH,TypKt_CatalogueCH
Aptitude_construction,Stand_Baureife
IndiceUtilisation,Nutzungsziffer
Etat_construction,Stand_Ueberbauung
